N,MODE,OPERATOR,NAME,LONGNAME,STOP,STOP4,STOP5,STOP6,STOP7,STOP8,STOP9,X,Y,TAZID
28182,4,0,S470,S470,0,0,0,0,0,0,0,414995.0,4558521.0,537
28154,4,0,S470,S470,0,0,0,0,0,0,0,414599.0,4558317.0,534
28124,4,0,S470,S470,0,0,0,0,0,0,0,414421.0,4558203.0,519
28097,4,0,S470,S470,0,0,0,0,0,0,0,414190.0,4558035.0,512
28079,4,0,S470,S470,1,1,0,0,0,0,0,413928.0,4557845.0,519
28029,4,0,S470,S470,1,1,0,0,0,0,0,413918.0,4557216.0,526
28014,4,0,S470,S470,1,1,0,0,0,0,0,413916.0,4556985.0,526
27982,4,0,S470,S470,1,1,0,0,0,0,0,413909.0,4556408.0,526
27953,4,0,S470,S470,0,0,0,0,0,0,0,413905.0,4556031.0,622
27925,4,0,S470,S470,1,1,0,0,0,0,0,413899.0,4555602.0,624
27879,4,0,S470,S470,1,1,0,0,0,0,0,413890.0,4554791.0,625
27847,4,0,S470,S470,0,0,0,0,0,0,0,413887.0,4554287.0,625
27835,4,0,S470,S470,1,1,0,0,0,0,0,413884.0,4553983.0,627
27810,4,0,S470,S470,0,0,0,0,0,0,0,413874.0,4553568.0,627
27771,4,0,S470,S470,1,1,0,0,0,0,0,413873.0,4553177.0,627
27739,4,0,S470,S470,0,0,0,0,0,0,0,413872.0,4552901.0,646
27702,4,0,S470,S470,1,1,0,0,0,0,0,413868.0,4552536.0,646
27687,4,0,S470,S470,1,1,0,0,0,0,0,413863.0,4552370.0,646
27647,4,0,S470,S470,0,0,0,0,0,0,0,413858.8486,4552001.513,645
27633,4,0,S470,S470,1,1,0,0,0,0,0,413881.716,4551898.609,653
27630,4,0,S470,S470,0,0,0,0,0,0,0,413905.6229,4551824.81,653
