A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry
20848,20865,0.46048918562386076,20848_20865,2167,0,3,32,0154_001.4,"LINESTRING (420770 4483719, 421388 4483310)"
20849,20797,0.38652031456534297,20849_20797,2167,0,3,32,,"LINESTRING (420773 4483732, 420152 4483768)"
20849,20824,0.19863917068889908,20849_20824,2098,0,1,42,,"LINESTRING (420773 4483732, 420460 4483797)"
20865,21009,0.7711245675882654,20865_21009,2167,0,3,32,0154_001.4,"LINESTRING (421388 4483310, 422629 4483312)"
20868,20849,0.46342451933336093,20868_20849,2168,0,3,32,0154_001.4,"LINESTRING (421396 4483322, 420773 4483732)"
20869,20922,0.18633162591682487,20869_20922,908,0,2,35,,"LINESTRING (396180.5806 4508543.74, 396427.9987 4508713.171)"
20878,20870,0.04268579935397893,20878_20870,906,0,2,35,,"LINESTRING (396236.0792 4508598.019, 396179.5658 4508558.963)"
20899,20947,0.20031441857922966,20899_20947,2014,0,1,42,,"LINESTRING (416659 4488309, 416732 4488623)"
20902,20878,0.07706812518636383,20902_20878,908,0,1,31,,"LINESTRING (396331.0288 4508677.817, 396236.0792 4508598.019)"
20914,20975,0.23863790075664046,20914_20975,2158,0,5,33,,"LINESTRING (423581.3522 4481513.366, 423803 4481827)"
20914,20982,0.25638275383928155,20914_20982,2158,0,1,42,,"LINESTRING (423581.3522 4481513.366, 423859.6057 4481818.029)"
20922,20949,0.2201005209216857,20922_20949,908,0,1,31,,"LINESTRING (396427.9987 4508713.171, 396768.1931 4508614.494)"
20922,21195,1.13226700087669,20922_21195,908,0,2,35,0080_101.5,"LINESTRING (396427.9987 4508713.171, 398053.2757 4509537.123)"
20924,20878,0.14187949161877056,20924_20878,908,0,2,35,,"LINESTRING (396424.9684 4508726.302, 396236.0792 4508598.019)"
20925,20902,0.06326861945306456,20925_20902,908,0,1,31,,"LINESTRING (396412.8472 4508738.424, 396331.0288 4508677.817)"
20927,20760,0.7700503129356948,20927_20760,2184,0,5,33,0015_286.8,"LINESTRING (423585 4481583, 422979 4480502)"
20928,20976,0.20363724835194894,20928_20976,2179,0,1,38,,"LINESTRING (423599.0875 4481571.548, 423798 4481832)"
20929,20761,0.7708962133900963,20929_20761,2184,0,1,38,0015_286.8,"LINESTRING (423593 4481579, 422986 4480497)"
20933,20892,0.200164017881811,20933_20892,2013,0,1,41,,"LINESTRING (416599 4488629, 416636 4488309)"
20935,20925,0.07202690009645976,20935_20925,908,0,1,31,,"LINESTRING (396526.9888 4508718.221, 396412.8472 4508738.424)"
20944,20927,0.07643842370834006,20944_20927,2179,0,1,41,,"LINESTRING (423623.258 4481699.915, 423585 4481583)"
20947,20977,0.19707803938392252,20947_20977,1999,0,1,41,,"LINESTRING (416732 4488623, 416695 4488938)"
20949,20935,0.16314886969130898,20949_20935,908,0,1,31,,"LINESTRING (396768.1931 4508614.494, 396526.9888 4508718.221)"
20971,20933,0.1987819846752159,20971_20933,1998,0,1,42,,"LINESTRING (416678 4488939, 416599 4488629)"
20975,20976,0.004393768757295212,20975_20976,2179,0,1,39,,"LINESTRING (423803 4481827, 423798 4481832)"
20975,21017,0.1681312184645558,20975_21017,2153,0,5,33,,"LINESTRING (423803 4481827, 423973.0646 4482037.456)"
20976,20975,0.004393768757295212,20976_20975,2179,0,1,39,,"LINESTRING (423798 4481832, 423803 4481827)"
20976,21048,0.2656235813674277,20976_21048,2149,0,1,38,,"LINESTRING (423798 4481832, 424061 4482169)"
20982,21039,0.22863744399349759,20982_21039,2153,0,1,41,,"LINESTRING (423859.6057 4481818.029, 424046.9739 4482134.706)"
20983,20944,0.1641003575914736,20983_20944,2179,0,1,41,,"LINESTRING (423760.6728 4481925.442, 423623.258 4481699.915)"
20985,20929,0.23898386431718513,20985_20929,2179,0,1,38,,"LINESTRING (423822 4481888, 423593 4481579)"
20985,20986,0.004853076215036384,20985_20986,2149,0,1,39,,"LINESTRING (423822 4481888, 423817 4481894)"
20986,20927,0.24109342255685798,20986_20927,2179,0,5,33,,"LINESTRING (423817 4481894, 423585 4481583)"
