A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry,index_right,OBJECTID,Name,EL_Zone,Shape_Leng,Shape_Area
21325,21322,0.004970981893198455,21325_21322,2139,145.0,1,39,,POINT (424506 4484058),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21325,21388,0.28646967960163094,21325_21388,2129,145.0,5,34,,POINT (424512.5 4484288.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21339,21388,0.24324976861400802,21339_21388,2129,145.0,2,41,,POINT (424544.5 4484325.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21340,21272,0.30351040521375006,21340_21272,2139,255.0,5,34,,POINT (424484.8526 4483972.8094999995),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21340,21343,0.005592354629848261,21340_21343,2128,255.0,1,39,,POINT (424493.5 4484217),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21343,21273,0.30290855277127693,21343_21273,2139,255.0,1,38,,POINT (424493.72885 4483973.296),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21343,21340,0.005592354629848261,21343_21340,2128,255.0,1,39,,POINT (424493.5 4484217),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21383,21323,0.24425007549864772,21383_21323,2128,255.0,2,42,,POINT (424461.5 4484325),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21383,21340,0.18767102595134216,21383_21340,2128,255.0,5,34,,POINT (424491 4484368),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21387,21574,1.043953539182891,21387_21574,2128,145.0,1,38,0015_289.8,POINT (424516 4485363),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21388,21576,1.0489303702728263,21388_21576,2128,145.0,5,34,0015_289.8,POINT (424523.5 4485363),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21389,21343,0.19574819230347337,21389_21343,2128,255.0,1,38,,POINT (424500 4484374.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21464,21534,0.30753940017647957,21464_21534,908,300.0,2,35,0080_101.5,POINT (399534.44325 4510557.327500001),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
21468,21197,0.9597518704918687,21468_21197,906,325.0,2,35,0080_101.5,POINT (398689.73315 4509996.916999999),3.0,11.0,I80,325.0,33098.1748993,3269816.37996
21534,21648,0.40875946665409785,21534_21648,908,300.0,1,42,,POINT (400035.1855 4510822.908),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
21534,21726,0.7066381080388828,21534_21726,908,300.0,2,35,,POINT (400113.57275 4511130.607),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
21541,21592,0.2001341171019488,21541_21592,1776,345.0,1,42,,POINT (417353.49999999994 4493303.5),39.0,317.0,Bangerter,345.0,40017.1675193,3921207.95091
21551,21468,0.33592455776219793,21551_21468,906,325.0,2,35,0080_101.5,POINT (399536.7832 4510601.785499999),3.0,11.0,I80,325.0,33098.1748993,3269816.37996
21567,21536,0.2013170952600253,21567_21536,1775,330.0,1,41,,POINT (417269 4493303),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21570,21383,1.0476655758752422,21570_21383,2128,255.0,5,34,0015_289.8,POINT (424499.5 4485362),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21571,21389,1.0364765462295786,21571_21389,2128,255.0,1,38,0015_289.8,POINT (424508.00000000006 4485366),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21574,21615,0.22060132383216188,21574_21615,2119,145.0,1,38,,POINT (424526 4486380.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21576,21617,0.21748844675874224,21576_21617,2120,145.0,5,34,,POINT (424533.49999999994 4486382),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21576,21640,0.25187296167642176,21576_21640,2120,145.0,2,42,,POINT (424557.99999999994 4486408),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21592,21619,0.20241973926891882,21592_21619,1760,345.0,1,41,,POINT (417351.5 4493622),39.0,317.0,Bangerter,345.0,40017.1675193,3921207.95091
21609,21570,0.2547787347336913,21609_21570,2119,255.0,3,41,,POINT (424474 4486407.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21614,21567,0.20132668448249136,21614_21567,1774,330.0,1,42,,POINT (417271.5 4493620.5),37.0,315.0,Bangerter,330.0,36260.1281954,3585969.47012
21615,21617,0.004393768757295212,21615_21617,2119,145.0,1,39,,POINT (424531.5 4486557.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21615,21672,0.2713635123445088,21615_21672,2104,145.0,1,38,,POINT (424515.5 4486776),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21617,21615,0.004393768757295212,21617_21615,2119,145.0,1,39,,POINT (424531.5 4486557.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21617,21675,0.2712325804206118,21617_21675,2104,145.0,5,34,,POINT (424524.5 4486775),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21624,21570,0.264089992234955,21624_21570,2119,255.0,5,34,,POINT (424507.50000000006 4486417.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21624,21628,0.004970981893198455,21624_21628,2104,255.0,1,39,,POINT (424513 4486630),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21628,21571,0.2671967794182304,21628_21571,2119,255.0,1,38,,POINT (424515.5 4486415),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21628,21624,0.004970981893198455,21628_21624,2104,255.0,1,39,,POINT (424513 4486630),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21640,21675,0.2425392192722015,21640_21675,2108,145.0,3,41,,POINT (424549 4486801),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21644,21609,0.08755845230371972,21644_21609,2104,255.0,2,42,,POINT (424450 4486680),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21647,21551,0.3390727230908529,21647_21551,906,325.0,1,41,,POINT (399872.5613 4511018.291),3.0,11.0,I80,325.0,33098.1748993,3269816.37996
21648,21726,0.39460492847047063,21648_21726,907,300.0,1,41,,POINT (400424.78174999997 4511237.073),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
21668,21624,0.23113896524025454,21668_21624,2104,255.0,5,34,,POINT (424495.5 4486815.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21668,21644,0.1566759042021958,21668_21644,2104,255.0,2,42,,POINT (424470 4486875.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21670,21628,0.23043212299189306,21670_21628,2104,255.0,1,38,,POINT (424504.5 4486815),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21672,21778,0.7482777822512033,21672_21778,2104,145.0,1,38,0015_291.4,POINT (424401.5 4487587.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21675,21780,0.7521623937488687,21675_21780,2104,145.0,5,34,0015_291.4,POINT (424411.5 4487589.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21716,21551,0.6264208665426966,21716_21551,906,325.0,2,35,,POINT (400085.49375 4511146.986),3.0,11.0,I80,325.0,33098.1748993,3269816.37996
21716,21647,0.3091980489591299,21716_21647,906,325.0,1,42,,POINT (400217.69905 4511385.658),3.0,11.0,I80,325.0,33098.1748993,3269816.37996
21726,22006,1.0075182048448126,21726_22006,907,300.0,2,35,0080_104.3,POINT (401075.5845 4512118.886),1.0,9.0,I80,300.0,30933.6557647,3053360.77004
21771,21668,0.737974240387174,21771_21668,2104,255.0,5,34,0015_291.4,POINT (424380 4487586),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21773,21670,0.7372555443516485,21773_21670,2104,255.0,1,38,0015_291.4,POINT (424390.5 4487584.5),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21778,21806,0.22065294971310853,21778_21806,2104,145.0,1,38,,POINT (424270 4488356),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21780,21811,0.2187108461074654,21780_21811,2104,145.0,5,34,,POINT (424279.50000000006 4488359.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21780,21821,0.23143944936065286,21780_21821,2105,145.0,2,42,,POINT (424325.5 4488371.5),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21790,21771,0.14248958886118687,21790_21771,2104,255.0,2,41,,POINT (424239.5 4488279),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21799,21790,0.11447433075709891,21799_21790,2104,255.0,2,41,,POINT (424168 4488473),23.0,35.0,I15,255.0,31062.7532875,3061881.76061
21806,21811,0.00633678341878383,21806_21811,2104,145.0,1,39,,POINT (424244.99999999994 4488532),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21806,21846,0.2672336248293708,21806_21846,1989,145.0,1,38,,POINT (424204 4488743),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
21811,21806,0.00633678341878383,21811_21806,2104,145.0,1,39,,POINT (424244.99999999994 4488532),16.0,28.0,I15,145.0,31265.4310551,3082231.69965
