Z,X,Y,ACRES,DEVACRES,SQMILE,CBD,PRKCSTPERM,PRKCSTTEMP,POP5,EMP5,DEVACRE5,URBANVAL,ATYPE,TERMTIME
119,411885.00000,4585699.00000,93.06,88.41,0.14541,0,0.00,0.00,676,207,1041,1.06,2,1
120,412565.00000,4585668.00000,230.58,230.58,0.36028,0,0.00,0.00,716,207,1075,1.06,2,1
121,413209.00000,4585666.00000,115.04,115.04,0.17974,0,0.00,0.00,1197,122,1176,1.23,2,1
122,413745.00000,4585632.00000,151.37,151.37,0.23652,0,0.00,0.00,1197,122,1176,1.23,2,1
123,412246.00000,4584236.00000,130.88,117.80,0.20451,0,0.00,0.00,1450,127,1282,1.34,2,1
124,412609.00000,4584800.00000,123.42,123.42,0.19284,0,0.00,0.00,1558,131,1163,1.57,2,1
125,413192.00000,4584776.00000,61.78,61.78,0.09653,0,0.00,0.00,1593,92,1226,1.45,2,1
126,413707.00000,4584622.00000,198.24,198.24,0.30975,0,0.00,0.00,1829,91,1101,1.83,2,1
127,412699.00000,4584041.00000,127.82,127.82,0.19972,0,0.00,0.00,1680,87,1186,1.57,2,1
128,413176.91060,4584006.26900,100.18,100.18,0.15653,0,0.00,0.00,1680,87,1186,1.57,2,1
129,413144.00000,4582953.00000,233.68,233.68,0.36512,0,0.00,0.00,1829,25,1684,1.12,2,1
130,413864.00000,4583799.00000,102.64,102.64,0.16037,0,0.00,0.00,1680,87,1186,1.57,2,1
131,413786.53380,4583187.34900,124.48,120.75,0.19450,0,0.00,0.00,1557,88,1326,1.31,2,1
132,414005.00000,4581534.00000,273.89,262.93,0.42795,0,0.00,0.00,2078,92,2086,1.09,2,1
133,413231.00000,4581282.00000,424.51,420.26,0.66330,0,0.00,0.00,1893,120,2267,0.94,1,1
134,411291.00000,4579368.00000,981.42,971.60,1.53346,0,0.00,0.00,807,182,4155,0.28,1,1
135,412531.00000,4580763.00000,147.61,146.14,0.23065,0,0.00,0.00,1756,196,3232,0.67,1,1
136,414267.19940,4580257.38100,411.67,407.56,0.64324,0,0.00,0.00,1789,209,4124,0.54,1,1
137,412464.00000,4579253.00000,280.64,280.64,0.43850,0,0.00,0.00,1726,206,3683,0.58,1,1
138,413070.00000,4579319.00000,291.98,291.98,0.45621,0,0.00,0.00,1726,206,3683,0.58,1,1
139,413592.00000,4578358.00000,554.48,526.76,0.86638,0,0.00,0.00,1244,199,4605,0.36,1,1
140,410420.00000,4577479.00000,823.79,823.79,1.28717,0,0.00,0.00,423,110,4662,0.14,1,1
141,412321.00000,4577786.00000,421.18,421.18,0.65809,0,0.00,0.00,2851,317,4560,0.77,1,1
142,411817.00000,4577154.00000,476.18,476.18,0.74403,0,0.00,0.00,2399,259,4104,0.72,1,1
143,413225.00000,4578243.00000,216.84,216.84,0.33881,0,0.00,0.00,1257,199,4006,0.42,1,1
144,408792.00000,4581059.00000,10649.64,0.00,16.64007,0,0.00,0.00,1081,99,3286,0.39,1,1
145,415360.00000,4600848.00000,742.53,386.12,1.16020,0,0.00,0.00,3014,496,2917,1.39,2,1
146,417667.00780,4598423.60200,2926.69,0.00,4.57295,0,0.00,0.00,3083,96,578,5.68,3,1
147,422711.90680,4597901.77500,2354.76,0.00,3.67931,0,0.00,0.00,1758,149,2724,0.76,1,1
148,419954.03360,4596559.31800,1089.16,0.00,1.70181,0,0.00,0.00,1758,149,2724,0.76,1,1
149,418571.92190,4596134.66600,1906.86,0.00,2.97947,0,0.00,0.00,1441,113,658,2.55,2,1
150,422726.49870,4594852.06300,3622.71,2427.21,5.66048,0,0.00,0.00,1347,171,2990,0.57,1,1
151,421180.00000,4590111.00000,16774.56,0.00,26.21025,0,0.00,0.00,2064,484,3054,1.00,2,1
152,416553.00000,4584668.00000,11279.43,0.00,17.62411,0,0.00,0.00,1341,89,931,1.64,2,1
153,415598.00000,4578959.00000,1745.76,1571.19,2.72776,0,0.00,0.00,1317,165,4125,0.40,1,1
154,397282.01770,4562895.04800,78792.85,0.00,123.11383,0,0.00,0.00,417,362,11364,0.10,1,1
155,405178.00000,4573206.00000,1031.87,990.59,1.61229,0,0.00,0.00,950,12,8231,0.12,1,1
156,401807.00000,4573071.00000,2592.46,2333.22,4.05073,0,0.00,0.00,604,14,12766,0.05,1,1
157,405145.00000,4570485.00000,1312.87,1299.74,2.05135,0,0.00,0.00,974,0,8685,0.11,1,1
158,406724.17850,4571398.23800,870.27,870.27,1.35979,0,0.00,0.00,1810,178,3960,0.55,1,1
159,398851.00000,4570362.00000,3383.43,3281.93,5.28662,0,0.00,0.00,516,356,16471,0.08,1,1
160,402758.00000,4570207.00000,2861.93,2690.21,4.47176,0,0.00,0.00,538,25,12897,0.05,1,1
161,408925.00000,4569804.00000,282.67,277.02,0.44168,0,0.00,0.00,1215,164,2229,0.70,1,1
162,406660.00000,4568783.00000,965.26,945.96,1.50823,0,0.00,0.00,886,0,4750,0.19,1,1
163,408246.00000,4569551.00000,116.91,109.89,0.18267,0,0.00,0.00,894,0,3028,0.30,1,1
164,409968.73090,4569554.15000,400.35,388.34,0.62555,0,0.00,0.00,700,0,2396,0.29,1,1
165,398201.00000,4567430.00000,4771.30,4580.45,7.45515,0,0.00,0.00,403,362,13417,0.09,1,1
166,405367.80410,4568092.69000,703.71,668.53,1.09955,0,0.00,0.00,729,11,5877,0.13,1,1
167,407922.00000,4568516.00000,404.34,396.26,0.63179,0,0.00,0.00,826,14,3369,0.25,1,1
168,408892.00000,4568448.00000,238.34,238.34,0.37241,0,0.00,0.00,734,14,2869,0.27,1,1
169,410013.00000,4568479.00000,345.07,341.62,0.53917,0,0.00,0.00,911,14,3274,0.29,1,1
170,401910.00000,4567791.00000,495.06,495.06,0.77353,0,0.00,0.00,501,362,11431,0.11,1,1
171,403523.00000,4567773.00000,498.32,498.32,0.77862,0,0.00,0.00,689,25,8517,0.09,1,1
172,409813.00000,4567211.00000,388.36,388.36,0.60681,0,0.00,0.00,1135,14,3042,0.38,1,1
173,411090.84160,4567309.92800,505.28,500.22,0.78949,0,0.00,0.00,890,0,3067,0.29,1,1
174,407578.00000,4567217.00000,494.05,484.16,0.77195,0,0.00,0.00,1007,14,3512,0.29,1,1
175,408876.00000,4567211.00000,245.35,245.35,0.38337,0,0.00,0.00,1032,14,3030,0.35,1,1
176,412021.58450,4566901.09700,288.62,277.07,0.45096,0,0.00,0.00,1989,129,2829,0.80,1,1
177,401883.00000,4566361.00000,652.53,652.53,1.01958,0,0.00,0.00,509,362,10374,0.12,1,1
178,403501.00000,4566339.00000,639.73,639.73,0.99957,0,0.00,0.00,593,31,6111,0.11,1,1
179,405171.00000,4566353.00000,667.03,627.01,1.04223,0,0.00,0.00,620,15,5755,0.11,1,1
